"","OBJECTID","HUC12","HUC_STATE_NAME","HUC_STATE_ABBR","HUC_Region","HUC_RESERVE","Core_Edge_ratio","Perc_IC","Perc_Natural","Perc_Ag","Erodibility_Factor","MEAN_Marsh_Tidal_Range","Perc_Hardened_Shoreline","Shoreline_Sinuosity","Wetland_Connectedness","Pct_MUC_below_MHHW","Pct_MUC_below_MTL","UnvegVegEdge_ratio","AVG_migration_ratio","Acres","Shape_Length","Shape_Area","Core_Edge_ratio_Quantile","Perc_IC_Quantile","Perc_Natural_Quantile","Perc_Ag_Quantile","Erodibility_Factor_Quantile","MEAN_Marsh_Tidal_Range_Quantile","Perc_Hardened_Shoreline_Quantile","Shoreline_Sinuosity_Quantile","Wetland_Connectedness_Quantile","Pct_MUC_below_MHHW_Quantile","Pct_MUC_below_MTL_Quantile","UnvegVegEdge_ratio_Quantile","AVG_migration_ratio_Quantile","QuantileScoreSum","CurrentConditionSum","VulnerabilitySum","AdaptiveCapacitySum","CurrentConditionSum_Quantile","VulnerabilitySum_Quantile","AdaptiveCapacitySum_Quantile","QuantileScoreSum_Quantile","ConditionCategory","VulnerabilityCategory","AdaptiveCapacityCategory","ManagementCategory"
"11",11,10500010810,"Maine","ME","Northeast","",0,0,100,0,0.353047619,6.094043732,3.26046279,-0.811697934,20,0.789473684,0.578947368,1000,0.757640419,18089.9057,52958.15989,73207251.07,1,-1,10,-1,-10,10,-5,2,4,-9,-10,-10,8,-6,-1,-19,14,8,-10,6,5,"High","High","High","High-High-High"
"12",12,10500020205,"Maine","ME","Northeast","",0.2597428,10.9645643,60.2892303,6.5156841,0.303352601,4.204913375,1.763095859,-0.603190983,0,0.923076923,0.692307692,2.522306013,0.097564855,6463.351579,27945.30687,26156255.85,5,-8,4,-7,-9,10,-4,5,1,-10,-10,-7,3,-26,-13,-19,6,3,-10,3,1,"Low","High","Low","Low-High-Low"
"13",13,10500020603,"Maine","ME","Northeast","",0.4303797,0.7722883,56.1785088,41.0169983,0.299338843,4.207006613,0,-0.593739604,66.66666667,1,0.389380531,1.225352044,1.110665275,8170.332077,38803.69805,33064160.84,6,-3,3,-10,-9,10,-1,5,9,-10,-9,-3,8,4,-7,-18,28,5,-9,10,7,"Low","High","High","Low-High-High"
"14",14,10500020604,"Maine","ME","Northeast","",0.4571369,3.2013836,77.682869,13.9108496,0.304232283,4.201602944,3.530251148,-0.633025313,22.22222222,0.841603053,0.417302799,1.662843512,0.108712425,35037.86937,104428.44,141793226.7,6,-6,6,-8,-9,10,-5,5,4,-9,-9,-5,3,-16,-7,-17,8,5,-8,3,3,"Low","High","Low","Low-High-Low"
"15",15,10500020701,"Maine","ME","Northeast","",0.1317432,3.2133832,85.8507843,4.8637929,0.297014614,4.213784825,1.722563947,-0.615874043,32.43243243,0.632075472,0.232075472,1.750768018,0.5338249,41704.02168,139478.5759,168770188,4,-6,7,-7,-9,10,-4,5,5,-8,-7,-5,7,-3,-7,-14,18,5,-7,8,5,"Low","High","High","Low-High-High"
"16",16,10500020702,"Maine","ME","Northeast","",0.0367046,0,100,0,0.259885057,4.162368938,0,-0.360890866,25,0.76635514,0.420560748,1.81776175,0.727621474,43429.2539,85977.48775,175751955.1,3,-1,10,-1,-8,10,-1,8,4,-9,-9,-5,8,16,6,-16,26,9,-8,10,9,"High","High","High","High-High-High"
"17",17,10500020801,"Maine","ME","Northeast","",0.0607903,2.1443553,88.9483032,4.872252,0.281949686,4.031222167,1.226093947,-0.684347671,43.24324324,0.836676218,0.47277937,2.018348809,0.247297553,39443.27619,87255.58763,159621275.6,3,-5,7,-7,-9,10,-4,4,6,-9,-9,-6,5,-11,-8,-17,14,5,-8,6,4,"Low","High","High","Low-High-High"
"18",18,10500020802,"Maine","ME","Northeast","",0.0904762,2.9363334,89.5763016,0,0.268479263,3.758167097,0.385775405,-0.551838804,8.333333333,0.672489083,0.510917031,3.772727856,1.177276859,19123.34637,59410.40871,77389437.06,3,-5,8,-1,-8,10,-3,6,3,-8,-10,-8,9,4,-3,-16,22,7,-8,9,7,"High","High","High","High-High-High"
"19",19,10500020803,"Maine","ME","Northeast","",0.2195185,1.6773621,89.8757095,5.4439263,0.265155709,3.981880432,3.503761914,-0.643090275,32.5203252,0.713567839,0.353768844,1.189049614,0.372341377,45913.10104,174688.6039,185803727.8,4,-4,8,-7,-8,10,-5,4,5,-8,-9,-3,6,-4,-2,-15,14,7,-8,6,5,"High","High","High","High-High-High"
"20",20,10500020804,"Maine","ME","Northeast","",0,4.8734589,87.2035141,0,0.232463768,3.740959902,2.283020548,-0.4392426,9.090909091,0.926406926,0.744588745,1000,0.586068335,107195.2823,124958.3527,433803916.6,1,-6,7,-1,-6,10,-5,7,3,-10,-10,-10,7,-8,-9,-16,16,4,-8,7,4,"Low","High","High","Low-High-High"
"21",21,10500020904,"Maine","ME","Northeast","",0.7647668,4.1241546,79.798439,8.1618738,0.295579196,3.793991372,0.605764406,-0.587912755,36.48648649,0.348502642,0.128009395,1.43686873,0.114796351,28039.92688,73632.97687,113473558.2,7,-6,6,-8,-9,10,-3,5,5,-5,-5,-4,3,-2,-5,-9,12,6,-4,5,6,"High","Low","Low","High-Low-Low"
"22",22,10500020905,"Maine","ME","Northeast","",0.3013563,1.1985813,92.2081223,4.1394334,0.343204134,3.766350785,0.843715215,-0.691872205,42.98245614,0.629455651,0.19729207,1.292466073,0.104105763,22051.93179,85950.54111,89241001.79,5,-4,8,-7,-10,10,-4,4,6,-8,-7,-4,3,-7,-2,-15,10,7,-8,4,5,"High","High","Low","High-High-Low"
"23",23,10500020906,"Maine","ME","Northeast","",0.3481694,4.200223,84.8640671,3.7032435,0.289844961,3.801230903,0.057923694,-0.506357282,48.21428571,0.563365282,0.172523962,1.221690678,0.11215364,18014.12875,55072.76832,72900592.61,5,-6,7,-6,-9,10,-2,6,7,-7,-6,-3,3,1,-3,-12,16,7,-6,7,6,"High","High","High","High-High-High"
"24",24,10500020907,"Maine","ME","Northeast","",0,0,100,0,0.260819672,3.701259471,0.097680511,-0.58096285,0,0.807692308,0.692307692,1000,0.505686513,13977.85025,55228.49421,56566353.06,1,-1,10,-1,-8,10,-3,5,1,-9,-10,-10,7,-2,-1,-17,16,8,-8,7,6,"High","High","High","High-High-High"
"25",25,10500021005,"Maine","ME","Northeast","",0.2319005,6.3657308,59.2039719,22.0595207,0.274811933,3.692433322,1.815534322,-0.67766657,32.75862069,0.500459137,0.191000918,1.678787794,0.110454456,41687.71135,121477.2982,168704182.4,4,-7,3,-9,-8,10,-4,4,5,-6,-6,-5,3,-15,-14,-10,9,2,-5,4,3,"Low","Low","Low","Low-Low-Low"
"26",26,10500021006,"Maine","ME","Northeast","",0.1900627,2.4523058,92.4181213,0.9039242,0.302424242,3.650037938,3.845900961,-0.682250943,42.85714286,0.716186253,0.254988914,4.411748486,0.288346118,7281.897266,36927.41845,29468792.72,4,-5,8,-5,-9,10,-5,4,6,-8,-8,-8,6,-6,-6,-15,14,6,-8,6,5,"High","High","High","High-High-High"
"27",27,10500021007,"Maine","ME","Northeast","",0,0,100,0,0.251265823,3.656975897,0.164712715,-0.627614549,23.07692308,0.833333333,0.533333333,1000,0.814015344,19856.4412,53650.47346,80356166.6,1,-1,10,-1,-7,10,-3,5,4,-9,-10,-10,8,4,-1,-16,20,8,-8,8,7,"High","High","High","High-High-High"
"28",28,10500021103,"Maine","ME","Northeast","",0.8467049,0.5708796,95.9104919,2.2376542,0.295849732,3.590955201,0.303086784,-0.592486549,15.78947368,0.537626067,0.270752521,1.95762716,0.184032023,33817.26973,74546.25658,136853635.2,7,-3,9,-6,-9,10,-3,5,3,-7,-8,-6,4,-2,1,-14,12,8,-7,5,6,"High","High","Low","High-High-Low"
"29",29,10500021106,"Maine","ME","Northeast","",0.3478261,1.991411,93.6218109,0.2956778,0.291641026,3.561539458,2.207006014,-0.693101048,8.571428571,0.553763441,0.209677419,1.059701461,0.308017992,11467.31147,49501.88856,46406563.07,5,-5,8,-4,-9,10,-4,4,3,-7,-7,-3,6,1,1,-13,13,8,-7,5,6,"High","High","Low","High-High-Low"
"30",30,10500021109,"Maine","ME","Northeast","",0,3.49387,90.8162613,1.1479669,0.260363128,3.562414259,3.166926214,-0.775233712,15,0.84375,0.645833333,46.94747516,1.720904317,20644.60314,101714.8011,83545744.79,1,-6,8,-5,-8,10,-5,2,3,-9,-10,-10,9,-14,-12,-17,16,3,-8,7,3,"Low","High","High","Low-High-High"
"31",31,10500021110,"Maine","ME","Northeast","",0,0,100,0,0.288636364,3.578686953,0,-0.345428086,28.57142857,0.36,0.226666667,11.51751295,0.490909173,41130.81347,91771.96972,166450496.7,1,-1,10,-1,-9,10,-1,8,4,-5,-7,-9,7,14,0,-11,24,8,-5,9,9,"High","Low","High","High-Low-High"
"32",32,10500021402,"Maine","ME","Northeast","",0.4615299,4.8453197,74.6873093,10.3528271,0.315911392,3.660055451,1.689281881,-0.617472796,13.63636364,0.85645933,0.234449761,3.164805339,0.258163285,34758.68307,75139.44081,140663399.8,6,-6,5,-8,-10,10,-4,5,3,-10,-7,-7,5,-15,-10,-17,12,4,-8,5,3,"Low","High","Low","Low-High-Low"
"33",33,10500021404,"Maine","ME","Northeast","",0.1244901,16.6125698,14.0863094,0,0.308947368,3.494999886,0,-0.096558929,0,0.333333333,0.111111111,1000,0.350992546,7364.659662,29517.27527,29803720.25,4,-9,1,-1,-9,10,-1,9,1,-5,-4,-10,6,-2,-15,-8,20,2,-3,8,6,"Low","Low","High","Low-Low-High"
"34",34,10500021405,"Maine","ME","Northeast","",0.2389997,1.1639683,89.5807877,7.1065302,0.313234714,3.553850358,1.480669784,-0.668427666,53.57142857,0.439086294,0.106598985,1.564615899,0.689416437,23502.22612,65019.99652,95110134.72,4,-4,8,-7,-9,10,-4,4,7,-6,-4,-4,8,9,-3,-9,21,7,-4,8,8,"High","Low","High","High-Low-High"
"35",35,10500021406,"Maine","ME","Northeast","",0.1970443,4.9248643,72.0263519,12.3377209,0.362363636,3.522757173,0,-0.540046827,44.44444444,0.53909465,0.185185185,1.280898802,0.215384613,6748.14877,24711.40742,27308789.19,4,-6,5,-8,-10,10,-1,6,6,-7,-6,-4,5,-2,-9,-13,20,4,-7,8,6,"Low","High","High","Low-High-High"
"36",36,10500021407,"Maine","ME","Northeast","",0.6047852,2.5879192,92.0485992,0,0.287122093,3.487292735,0.316118413,-0.662471482,0,0.406896552,0.04137931,0.826374707,1.561138142,13906.57748,52399.51161,56277922.37,6,-5,8,-1,-9,10,-3,4,1,-6,-2,-2,9,18,6,-7,18,9,-3,8,9,"High","Low","High","High-Low-High"
"37",37,10500021408,"Maine","ME","Northeast","",0.0434283,6.3221579,70.2878876,4.7366757,0.287975402,3.463809917,4.671685381,-0.684379456,0,0.520833333,0.208333333,2.837607148,1.287080734,59553.42853,219003.1879,241004174.7,3,-7,5,-7,-9,10,-6,4,1,-7,-7,-7,9,-12,-13,-13,14,3,-7,6,4,"Low","High","High","Low-High-High"
"38",38,10500021501,"Maine","ME","Northeast","",0.3365385,5.043489,83.9573517,0.2024243,0.298421053,3.427253932,5.77127645,-0.653548142,33.33333333,0.431654676,0.223021583,2.151515301,0.504680233,20480.71592,53338.89093,82882516.75,5,-7,7,-4,-9,10,-6,4,5,-6,-7,-6,7,-3,-5,-12,14,6,-6,6,5,"High","High","High","High-High-High"
"39",39,10500021503,"Maine","ME","Northeast","",0.3637412,4.221487,86.9437256,0,0.284734252,3.366959108,6.063970647,-0.726311618,39.39393939,0.536470588,0.148235294,1.88474093,1.008588419,52939.09363,174682.4931,214236911.1,5,-6,7,-1,-9,10,-6,3,6,-7,-5,-5,8,5,0,-11,16,8,-5,7,7,"High","Low","High","High-Low-High"
"40",40,10500021507,"Maine","ME","Northeast","",0.0940171,0.3067016,95.9860382,2.9668412,0.307563776,3.382921966,2.969505066,-0.763914249,55.55555556,0.5703125,0.3515625,3.499999825,1.611633915,34030.58681,125053.4599,137716898.8,3,-2,9,-6,-9,10,-5,2,8,-7,-9,-8,9,2,-4,-15,20,7,-8,8,7,"High","High","High","High-High-High"
"41",41,10500021508,"Maine","ME","Northeast","",0.282353,0,100,0,0.284046693,3.355321891,0.263704569,-0.715142855,-16.66666667,0.19266055,0.018348624,4.312499218,4.198692024,114747.9762,209459.2184,464368584.5,5,-1,10,-1,-9,10,-3,3,1,-3,-2,-8,10,20,5,-4,20,9,-2,8,10,"High","Low","High","High-Low-High"
"42",42,10500021601,"Maine","ME","Northeast","",0,1.4542943,85.5855865,7.2072072,0.292572877,3.350264813,0.400340365,-0.758648929,36.36363636,0.540540541,0.459459459,2.083333333,2.321568627,22906.14639,62724.69708,92697885.63,1,-4,7,-7,-9,10,-3,3,5,-7,-9,-6,9,-2,-9,-15,22,4,-8,9,6,"Low","High","High","Low-High-High"
"43",43,10500021602,"Maine","ME","Northeast","",0.1158798,2.7224085,60.7659569,30.9787235,0.355064378,3.350407499,2.495274205,-0.732592976,0,0.692307692,0.623076923,5.852940195,0.520967742,25665.8364,64499.63337,103865954.9,3,-5,4,-10,-10,10,-5,3,1,-8,-10,-9,7,-24,-17,-18,10,1,-9,4,1,"Low","High","Low","Low-High-Low"
"44",44,10500021701,"Maine","ME","Northeast","",0.2416667,2.8104987,82.5022659,8.43155,0.286242236,3.345182652,4.127780229,-0.684357737,7.692307692,0.453020134,0.275167785,2.749999725,0.855797234,18945.30324,87774.30521,76668922.09,4,-5,6,-8,-9,10,-5,4,3,-6,-8,-7,8,-8,-10,-13,16,4,-7,7,4,"Low","High","High","Low-High-High"
"45",45,10500021702,"Maine","ME","Northeast","",0.3525641,2.5692575,91.1214371,0.2548851,0.274764012,3.242310016,3.270423038,-0.69880432,16.66666667,0.488151659,0.156398104,0.974683569,3.051782671,161505.1057,180022.8606,653587974.3,5,-5,8,-4,-8,10,-5,3,3,-6,-6,-3,9,8,1,-10,16,8,-5,7,8,"High","Low","High","High-Low-High"
"46",46,10500021803,"Maine","ME","Northeast","",0.0666667,0.6209894,82.6855087,15.1943464,0.358973277,3.361999989,17.31418433,-0.739759402,0,0.75,0.604166667,0.451612927,0.354227491,17069.70218,62208.27691,69078633.88,3,-3,6,-9,-10,10,-8,3,1,-9,-10,-1,6,-19,-4,-19,4,7,-10,2,2,"High","High","Low","High-High-Low"
"47",47,10500021906,"Maine","ME","Northeast","",1.4495727,1.3545828,74.1721878,21.0596027,0.351747573,3.153436476,1.266025036,-0.632218524,40,0.635729239,0.023028611,0.413043467,0.118573014,8645.541014,38106.82015,34987263.18,8,-4,5,-9,-10,10,-4,5,6,-8,-2,-1,3,0,-1,-10,11,8,-5,5,6,"High","Low","Low","High-Low-Low"
"48",48,10500021907,"Maine","ME","Northeast","",0.0745614,3.625366,87.4114838,0.4720692,0.335864597,3.163574493,10.6633851,-0.765595347,29.62962963,0.571428571,0.318367347,3.384615905,2.355673704,100577.3883,351657.5661,407022249.9,3,-6,7,-4,-10,10,-7,2,5,-7,-8,-8,9,-8,-8,-15,14,5,-8,6,4,"Low","High","High","Low-High-High"
"49",49,10500021908,"Maine","ME","Northeast","",0.0522193,1.3801641,95.7156372,0,0.284529764,3.252006419,2.081618692,-0.602069022,22.72727273,0.513647643,0.263027295,3.163043506,2.400888628,504189.9443,371070.4305,2040384314,3,-4,9,-1,-9,10,-4,5,4,-7,-8,-7,9,7,0,-14,21,8,-7,8,8,"High","High","High","High-High-High"
"50",50,10500030106,"Maine","ME","Northeast","",0.0227273,2.9340465,69.7882614,21.2003307,0.361958042,3.003281715,1.884114087,-0.78209773,43.75,0.766666667,0.488888889,2.259259008,1.400958409,29733.07916,69610.75198,120325502.4,2,-5,5,-9,-10,10,-4,2,6,-9,-9,-6,9,-11,-13,-18,20,3,-9,8,4,"Low","High","High","Low-High-High"
"51",51,10500030107,"Maine","ME","Northeast","",0.0883392,0.830657,82.2253876,15.0417194,0.362648491,3.026594488,4.000700364,-0.609902001,8.333333333,0.61038961,0.334415584,2.369047354,0.933208984,31627.04708,99116.70697,127990118.6,3,-3,6,-9,-10,10,-5,5,3,-8,-8,-6,8,-8,-9,-16,16,4,-8,7,4,"Low","High","High","Low-High-High"
"52",52,10500030202,"Maine","ME","Northeast","",0.2556054,0.4199283,90.8243713,7.7419353,0.321663808,3.044155548,2.731654309,-0.600477646,26.66666667,0.539285714,0.232142857,1.753086528,0.62991547,17703.30441,60468.53644,71642731.15,4,-3,8,-8,-10,10,-5,5,4,-7,-7,-5,8,0,-4,-14,18,7,-7,8,6,"High","High","High","High-High-High"
"53",53,10500030203,"Maine","ME","Northeast","",0.2755498,0.3336463,91.3495789,7.5006843,0.349735683,3.076915425,0.254003954,-0.607070532,27.5862069,0.679513185,0.25862069,1.177464784,0.182454068,35850.8615,79010.52094,145083289.1,5,-2,8,-8,-10,10,-3,5,4,-8,-8,-3,4,-4,0,-16,12,8,-8,5,5,"High","High","Low","High-High-Low"
"54",54,10500030204,"Maine","ME","Northeast","",0.0535714,1.0795778,92.0844345,4.4854879,0.301897233,3.013220351,4.285810911,-0.687810949,14.28571429,0.491525424,0.203389831,4.090909835,0.876749194,25463.74571,73991.67959,103048122.9,3,-4,8,-7,-9,10,-5,4,3,-6,-7,-8,8,-4,-8,-12,16,5,-6,7,5,"Low","High","High","Low-High-High"
"55",55,10500030205,"Maine","ME","Northeast","",0,0,100,0,0.27458445,3.010588932,0.238649765,-0.613676386,0,0.28,0.04,7.333335289,3.694011367,104409.8043,108331.6664,422531486.9,1,-1,10,-1,-8,10,-3,5,1,-4,-2,-9,10,18,0,-4,22,8,-2,9,9,"High","Low","High","High-Low-High"
"56",56,10500030301,"Maine","ME","Northeast","",0.15,1.162063,92.5501404,4.8710604,0.338831735,2.987788014,2.218987131,-0.723320673,25,0.586956522,0.391304348,1.105263164,1.761521698,29015.7676,87316.66843,117422645.4,4,-4,8,-7,-10,10,-5,3,4,-7,-9,-3,9,0,-2,-16,18,7,-8,8,6,"High","High","High","High-High-High"
"57",57,10500030303,"Maine","ME","Northeast","",0,1.2722554,95.7880402,0,0.2771,2.98351378,1.022164649,-0.670070066,54.54545455,0.457831325,0.228915663,0.765957421,0.723986944,8259.58718,59502.38568,33425363.43,1,-4,9,-1,-8,10,-4,4,7,-6,-7,-2,8,13,3,-11,21,9,-5,8,9,"High","Low","High","High-Low-High"
"58",58,10500030304,"Maine","ME","Northeast","",0.2484472,1.5033468,79.1105118,16.0826588,0.331736305,3.130124852,4.465671144,-0.598841196,14.70588235,0.694029851,0.320895522,0.839999993,0.609902015,30405.18397,96499.14585,123045414,4,-4,6,-9,-10,10,-5,5,3,-8,-8,-2,7,-6,-5,-16,14,6,-8,6,5,"High","High","High","High-High-High"
"59",59,10500030305,"Maine","ME","Northeast","",0.5652174,6.3846388,80.6083679,1.1406844,0.269548193,2.964056061,17.19050657,-0.62565158,0,0,0,0.703703719,0.920491272,10263.8651,62577.88377,41536388.4,6,-7,6,-5,-8,10,-8,5,1,-1,-1,-2,8,8,-2,0,10,7,-1,4,8,"High","Low","Low","High-Low-Low"
"60",60,10500030306,"Maine","ME","Northeast","",0,5.8035522,80.8743134,0,0.199365079,2.960104549,0.226965243,-0.399203698,-16.66666667,0.25,0.05,9.0000009,0.611518845,39634.34145,81430.38341,160394489.3,1,-7,6,-1,-5,10,-3,7,1,-4,-3,-9,7,6,-10,-2,18,4,-1,8,8,"Low","Low","High","Low-Low-High"
"61",61,10500030404,"Maine","ME","Northeast","",1.4972376,0.4244422,82.9497681,15.6844501,0.318103241,3.14401461,0.423906581,-0.661404555,60,0.207964602,0.045722714,0.117283952,0.09352518,17755.71108,81521.56062,71854813.43,9,-3,7,-9,-10,10,-3,4,8,-3,-2,-1,3,12,3,-5,14,9,-2,6,9,"High","Low","High","High-Low-High"
"62",62,10500030405,"Maine","ME","Northeast","",0.6466097,0.4076834,91.1047516,7.4980927,0.3176,3.14262502,0.106827236,-0.479147543,31.81818182,0.46514222,0.204127161,0.628032021,0.103937183,17335.3499,67029.46585,70153672.08,6,-3,8,-8,-10,10,-3,7,5,-6,-7,-2,3,2,1,-13,14,8,-7,6,7,"High","High","High","High-High-High"
"63",63,10500030406,"Maine","ME","Northeast","",0.3437625,1.9740092,83.5126343,10.3469219,0.341329739,3.144507213,5.517440166,-0.794277354,10.25641026,0.732831609,0.388523048,1.494115501,0.193621615,33953.33521,81557.89687,137404272.7,5,-5,7,-8,-10,10,-6,2,3,-9,-9,-4,5,-17,-5,-18,6,6,-9,3,3,"High","High","Low","High-High-Low"
"64",64,10500030501,"Maine","ME","Northeast","",1.1207349,0.264031,89.2292633,9.7018824,0.329431138,3.152146715,0,-0.499865049,20,0.722772277,0.323019802,0.642241371,0.050929882,8570.656864,44001.95182,34684217.77,8,-2,8,-8,-10,10,-1,6,4,-9,-8,-2,2,0,4,-17,12,9,-8,5,6,"High","High","Low","High-High-Low"
"65",65,10500030502,"Maine","ME","Northeast","",0.2069938,0.3646811,95.8957672,2.5596299,0.305773956,2.987480002,0,-0.599969004,36.84210526,0.675721562,0.512733447,1.197915675,0.145584256,9305.514443,36446.58174,37658080.89,4,-3,9,-6,-9,10,-1,5,5,-8,-10,-3,4,0,1,-17,16,8,-8,7,6,"High","High","High","High-High-High"
"66",66,10500030503,"Maine","ME","Northeast","",0.8656127,1.3253828,94.9819183,2.1206863,0.285154639,3.021133352,1.701813729,-0.559754484,14.01869159,0.561772964,0.225631769,0.832252168,0.154003855,55015.25152,107708.591,222638823.9,7,-4,9,-6,-9,10,-4,6,3,-7,-7,-2,4,2,4,-13,11,9,-7,5,7,"High","High","Low","High-High-Low"
"67",67,10500030601,"Maine","ME","Northeast","",0,0,99.7523193,0.2476837,0.35,3.213932808,0.204476191,-0.575427287,66.66666667,0.821052632,0.294736842,2.518518668,3.028371623,12853.2913,52431.56847,52015424.46,1,-1,10,-4,-10,10,-3,5,9,-9,-8,-7,9,10,-1,-17,28,8,-8,10,8,"High","High","High","High-High-High"
"68",68,10500030602,"Maine","ME","Northeast","",0.6882934,2.3394344,81.7262955,10.1534958,0.339492188,2.94702912,1.724161593,-0.5316691,-25,0.855472013,0.555555556,1.57818195,0.21828364,17099.20803,67184.72911,69198039.82,7,-5,6,-8,-10,10,-4,6,1,-10,-10,-5,5,-14,-5,-20,11,6,-10,5,3,"High","High","Low","High-High-Low"
"69",69,10500030603,"Maine","ME","Northeast","",0.6280318,1.4175034,93.1411819,2.6549373,0.31472196,2.88371572,2.798638218,-0.574483509,27.52808989,0.430544178,0.230076068,0.834123387,0.162106091,36881.71563,108079.8518,149255007.8,6,-4,8,-6,-9,10,-5,5,4,-6,-7,-2,4,0,2,-12,10,9,-6,4,6,"High","High","Low","High-High-Low"
